player_name,slug,team,profile_id,headshot_id,image_filename,image_url,status
Ramakrishna Ghosh,ramakrishna-ghosh,chennai-super-kings,22153,3559,ramakrishna-ghosh_3559.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/3559.png,downloaded
Ramandeep Singh,ramandeep-singh,kolkata-knight-riders,20595,991,ramandeep-singh_991.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/991.png,downloaded
Rashid Khan,rashid-khan,gujarat-titans,2885,218,rashid-khan_218.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/218.png,downloaded
Rasikh Dar,rasikh-dar,royal-challengers-bengaluru,20577,172,rasikh-dar_172.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/172.png,downloaded
Ravi Bishnoi,ravi-bishnoi,rajasthan-royals,19351,520,ravi-bishnoi_520.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/520.png,downloaded
Ravi Singh,ravi-singh,rajasthan-royals,23044,4550,ravi-singh_4550.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/4550.png,downloaded
Ravichandra Ashwin,ravichandran-ashwin,,8,45,,https://documents.iplt20.com/ipl/IPLHeadshot2025/45.png,alias
Ravichandran Ashwin,ravichandran-ashwin,,8,45,,https://documents.iplt20.com/ipl/IPLHeadshot2025/45.png,linked
Ravindra Jadeja,ravindra-jadeja,rajasthan-royals,9,46,ravindra-jadeja_46.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/46.png,downloaded
Ravisrinivasan Sai Kishore,sai-kishore,gujarat-titans,7123,544,sai-kishore_544.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/544.png,alias
Reece Topley,reece-topley,,5607,574,,https://documents.iplt20.com/ipl/IPLHeadshot2025/574.png,linked
Richard Gleeson,richard-gleeson,,20730,1219,,https://documents.iplt20.com/ipl/IPLHeadshot2025/1219.png,linked
Rinku Singh,rinku-singh,kolkata-knight-riders,3830,152,rinku-singh_152.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/152.png,downloaded
Rishabh Pant,rishabh-pant,lucknow-super-giants,2972,18,rishabh-pant_18.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/18.png,downloaded
Rituraj Gaikwad,ruturaj-gaikwad,chennai-super-kings,5443,102,ruturaj-gaikwad_102.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/102.png,alias
Riyan Parag,riyan-parag,rajasthan-royals,4445,189,riyan-parag_189.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/189.png,downloaded
Robin Minz,robin-minz,mumbai-indians,20707,3103,robin-minz_3103.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/3103.png,downloaded
Rohit Sharma,rohit-sharma,mumbai-indians,107,6,rohit-sharma_6.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/6.png,downloaded
Roman Powel,rovman-powell,kolkata-knight-riders,3333,329,rovman-powell_329.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/329.png,alias
Romario Shepherd,romario-shepherd,royal-challengers-bengaluru,20609,371,romario-shepherd_371.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/371.png,downloaded
Rovman Powell,rovman-powell,kolkata-knight-riders,3333,329,rovman-powell_329.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/329.png,downloaded
Ruturaj Gaikwad,ruturaj-gaikwad,chennai-super-kings,5443,102,ruturaj-gaikwad_102.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/102.png,downloaded
Ryan Rickelton,ryan-rickelton,mumbai-indians,22003,743,ryan-rickelton_743.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/743.png,downloaded
Ryan Rickleton,ryan-rickelton,mumbai-indians,22003,743,ryan-rickelton_743.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/743.png,alias
Sachin Baby,sachin-baby,,1115,599,,https://documents.iplt20.com/ipl/IPLHeadshot2025/599.png,linked
Sahil Parakh,sahil-parakh,delhi-capitals,23063,4542,sahil-parakh_4542.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/4542.png,downloaded
Sai Kishore,sai-kishore,gujarat-titans,7123,544,sai-kishore_544.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/544.png,downloaded
Sai Sudarshan,sai-sudharsan,gujarat-titans,20592,976,sai-sudharsan_976.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/976.png,alias
Sai Sudharsan,sai-sudharsan,gujarat-titans,20592,976,sai-sudharsan_976.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/976.png,downloaded
Sakib Hussain,sakib-hussain,sunrisers-hyderabad,20717,3104,sakib-hussain_3104.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/3104.png,downloaded
Salil Arora,salil-arora,sunrisers-hyderabad,23041,4556,salil-arora_4556.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/4556.png,downloaded
Sam Curran,sam-curran,,2939,,,https://documents.iplt20.com/ipl/IPLHeadshot2026/Default-Men.png,linked
Sameer Rizvi,sameer-rizvi,delhi-capitals,20689,1229,sameer-rizvi_1229.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/1229.png,downloaded
Sandeep Sharma,sandeep-sharma,rajasthan-royals,1112,220,sandeep-sharma_220.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/220.png,downloaded
Sanju Samson,sanju-samson,chennai-super-kings,258,190,sanju-samson_190.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/190.png,downloaded
Sarfaraz Khan,sarfaraz-khan,chennai-super-kings,1564,139,sarfaraz-khan_139.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/139.png,downloaded
Sarthak Ranjan,sarthak-ranjan,kolkata-knight-riders,23154,4203,sarthak-ranjan_4203.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/4203.png,downloaded
Satvik Deswal,satvik-deswal,royal-challengers-bengaluru,23036,4555,satvik-deswal_4555.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/4555.png,downloaded
Saurabh Dubey,saurabh-dubey,kolkata-knight-riders,20612,1010,saurabh-dubey_1010.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/1010.png,downloaded
Sediqullah Atal,sediqullah-atal,,22382,,,,missing
Shahbaaz Ahmed,shahbaz-ahamad,lucknow-super-giants,13803,523,shahbaz-ahamad_523.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/523.png,alias
Shahbaz Ahamad,shahbaz-ahamad,lucknow-super-giants,13803,523,shahbaz-ahamad_523.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/523.png,downloaded
Shahrukh Khan,shahrukh-khan,gujarat-titans,7779,590,shahrukh-khan_590.png,https://documents.iplt20.com/ipl/IPLHeadshot2026/590.png,downloaded
Shaik Rasheed,shaik-rasheed,,5612,778,,https://documents.iplt20.com/ipl/IPLHeadshot2025/778.png,linked
